	TCGA-2A-A8VL	TCGA-2A-A8VO	TCGA-2A-A8VT	TCGA-2A-A8VV	TCGA-2A-A8VX	TCGA-2A-A8W1	TCGA-2A-A8W3	TCGA-2A-AAYF	TCGA-2A-AAYO	TCGA-2A-AAYU	TCGA-4L-AA1F	TCGA-CH-5737	TCGA-CH-5738	TCGA-CH-5739	TCGA-CH-5740	TCGA-CH-5741	TCGA-CH-5743	TCGA-CH-5744	TCGA-CH-5745	TCGA-CH-5746	TCGA-CH-5748	TCGA-CH-5750	TCGA-CH-5751	TCGA-CH-5752	TCGA-CH-5753	TCGA-CH-5754	TCGA-CH-5761	TCGA-CH-5762	TCGA-CH-5763	TCGA-CH-5764	TCGA-CH-5765	TCGA-CH-5766	TCGA-CH-5767	TCGA-CH-5768	TCGA-CH-5769	TCGA-CH-5771	TCGA-CH-5772	TCGA-CH-5788	TCGA-CH-5789	TCGA-CH-5790	TCGA-CH-5791	TCGA-CH-5792	TCGA-CH-5794	TCGA-EJ-5494	TCGA-EJ-5495	TCGA-EJ-5496	TCGA-EJ-5497	TCGA-EJ-5498	TCGA-EJ-5499	TCGA-EJ-5501	TCGA-EJ-5502	TCGA-EJ-5503	TCGA-EJ-5504	TCGA-EJ-5505	TCGA-EJ-5506	TCGA-EJ-5507	TCGA-EJ-5508	TCGA-EJ-5509	TCGA-EJ-5510	TCGA-EJ-5511	TCGA-EJ-5512	TCGA-EJ-5514	TCGA-EJ-5515	TCGA-EJ-5516	TCGA-EJ-5517	TCGA-EJ-5518	TCGA-EJ-5519	TCGA-EJ-5521	TCGA-EJ-5522	TCGA-EJ-5524	TCGA-EJ-5525	TCGA-EJ-5526	TCGA-EJ-5527	TCGA-EJ-5530	TCGA-EJ-5531	TCGA-EJ-5532	TCGA-EJ-5542	TCGA-EJ-7115	TCGA-EJ-7123	TCGA-EJ-7125	TCGA-EJ-7314	TCGA-EJ-7315	TCGA-EJ-7317	TCGA-EJ-7321	TCGA-EJ-7327	TCGA-EJ-7328	TCGA-EJ-7330	TCGA-EJ-7331	TCGA-EJ-7781	TCGA-EJ-7782	TCGA-EJ-7783	TCGA-EJ-7784	TCGA-EJ-7785	TCGA-EJ-7786	TCGA-EJ-7788	TCGA-EJ-7789	TCGA-EJ-7791	TCGA-EJ-7792	TCGA-EJ-7793	TCGA-EJ-7794
ASXL3	4.7571	2.9213	3.2412	3.7487	1.9228	0.2738	3.2735	2.1728	4.3726	3.054	3.8636	2.0876	5.2158	4.1173	4.1256	1.9475	5.582	3.1021	4.3544	5.1208	4.1856	3.1243	3.1845	6.6698	3.6685	3.0188	1.575	5.499	5.7093	4.9273	4.6897	4.1025	3.3764	4.0394	3.6526	5.1484	5.1312	1.6556	5.7688	3.9539	3.4715	4.5349	2.1988	6.8247	5.9584	4.6258	5.3768	5.6157	4.8344	4.7082	4.5708	5.8752	4.9859	4.659	4.7818	4.0372	5.4575	5.1075	4.4337	4.7011	5.2777	4.7424	5.2365	5.4496	3.972	3.8981	3.8939	3.3399	5.5658	5.3779	2.5642	5.3511	5.5509	4.1738	4.7407	4.9605	4.8039	5.5631	3.7891	4.4456	5.0291	3.8793	4.253	3.4413	5.1612	5.5943	6.0972	5.3763	5.9324	4.7374	5.3631	4.5336	6.1895	5.5722	4.8623	0.6211	5.8961	5.699	5.6537	5.6479
ASZ1	-1.9181	-1.9181	-0.6615	-1.9181	-1.9181	-1.9181	-0.5703	-1.9181	-1.9181	-1.9181	-1.9181	-0.5925	-1.9181	-1.9181	-1.9181	-1.9181	-0.7136	-1.9181	-0.5984	-1.9181	-1.9181	-0.2718	1.5164	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	1.3472	-1.9181	-0.8019	-1.9181	-1.9181	-1.9181	-1.9181	-0.321	-1.9181	-1.9181	-0.454	-1.9181	-0.4998	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	0.4831	-1.9181	-0.5148	-1.9181	-0.1612	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	2.6547	-0.9008	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.8155	-1.9181	-0.7994	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.689	-1.9181	5.0422	-1.9181	-0.7571	-1.9181	-1.9181
ATAD3C	6.6313	5.0075	4.799	5.2975	5.8379	3.3478	4.8524	3.3258	5.4697	3.5473	4.8719	4.7099	6.1101	4.1819	6.0164	4.8835	7.3289	4.9653	5.8297	6.3349	3.8934	4.8864	6.1473	3.4466	4.4554	5.2866	4.3899	5.4011	6.885	4.0504	4.3617	4.9535	4.384	4.9823	4.9562	6.6316	4.9214	5.1545	5.668	4.629	5.008	5.6649	5.1369	3.833	5.6115	5.646	5.1007	6.2033	5.467	5.4495	6.5116	7.323	3.7114	5.5561	7.0017	3.6189	6.0058	4.9959	5.3237	4.3125	6.0441	4.59	6.2397	4.5917	4.0007	2.6141	4.2267	5.6647	5.2317	4.7652	3.6803	5.1064	5.42	4.1518	6.185	4.3606	4.9847	5.7321	3.8493	3.7112	5.5238	4.3974	5.3419	4.6597	5.4184	6.8895	5.7602	5.6485	4.81	4.8456	5.9942	6.1584	5.4172	5.1345	4.0314	3.0583	6.0802	5.7613	6.8847	5.7469
ATCAY	6.0482	4.9774	3.5885	6.6444	1.9228	0.2738	5.0788	4.587	5.8825	3.3814	4.6157	3.8692	6.5445	5.9696	6.0435	3.3963	6.5832	4.7343	7.3415	6.1429	5.9538	4.6149	2.3038	4.0055	4.3614	5.7681	2.9505	6.9003	6.774	6.5422	6.5335	5.2698	5.0056	5.3943	5.8109	7.293	1.7768	1.6556	7.5954	4.311	5.286	7.2787	5.5899	4.9371	6.5883	5.9991	6.6842	8.1403	5.3361	7.2263	7.3272	8.1766	5.9283	6.4139	6.445	4.9398	5.6449	6.679	6.313	6.4655	8.0976	3.7744	8.2911	6.5341	5.5887	6.1128	5.3393	6.7097	6.8535	6.5877	4.8336	6.6362	7.256	5.4518	7.6337	4.1306	5.9858	6.8511	6.504	4.4994	4.2194	5.6843	4.3914	6.3884	6.7472	7.0476	7.2727	6.697	6.9408	5.8831	7.8967	5.2484	7.4453	6.642	4.5478	2.4218	7.1379	7.8408	7.1718	7.5849
ATE1	7.4834	7.3078	8.4108	7.5147	6.6074	8.2496	8.2464	7.9673	7.1954	8.1659	7.8278	7.8961	8.4108	8.7237	8.0222	7.4106	7.853	8.0683	8.0353	8.5803	8.5909	8.4005	8.0417	9.1022	8.7484	8.0313	7.9502	8.7002	8.5867	8.5454	8.7147	8.6475	8.1836	8.6094	8.6906	7.4036	8.498	9.0116	8.4708	8.5215	8.103	7.9375	7.9797	8.2833	8.8093	8.6667	8.877	8.7064	8.4335	8.2493	8.544	8.2606	8.3111	8.7586	9.0888	8.2308	8.8388	8.1123	8.1144	8.6402	7.9166	9.0698	8.5659	9.2141	8.5566	8.3529	8.6762	7.6298	8.9608	8.7359	8.4638	8.802	8.958	8.8521	8.2636	8.6935	8.6969	8.0483	8.2487	8.5614	8.1952	8.0841	7.975	8.5228	8.7878	7.883	8.4419	9.0254	8.8726	8.2129	8.7139	8.5034	9.1187	8.5142	8.8811	8.1028	8.4143	8.3918	8.4578	8.6044
ATF3	12.2416	11.4445	9.0609	7.3455	10.0156	10.9376	9.2889	9.6748	10.2464	9.5089	11.2129	13.4455	12.9898	12.2093	10.0506	11.8132	14.1589	13.1288	13.999	10.891	8.2071	11.7676	10.2427	10.588	14.4377	11.662	8.4876	13.2542	12.8973	12.7522	11.2953	13.7645	13.8727	10.955	12.1627	12.8329	11.5065	7.1243	12.7247	10.4718	8.0231	10.0185	11.2216	11.6069	9.3391	8.7967	9.7546	10.778	8.6718	10.582	9.8302	8.8913	9.4837	8.383	9.3821	8.6505	10.1834	8.9539	8.8969	7.3675	9.2644	10.8139	9.2965	10.6035	11.2747	10.6745	8.2563	8.136	8.4722	8.0425	9.1665	9.8364	10.5174	9.1167	9.4282	9.3777	7.983	9.2514	8.4409	12.0798	12.6444	6.9903	9.1037	11.965	7.7797	8.5096	12.5383	10.1139	9.9129	8.6501	10.5676	9.1332	10.3709	10.0763	7.5282	7.1588	10.8235	9.9685	7.3001	10.746
ATF7IP2	5.0762	7.2269	3.184	3.127	6.5465	0.2738	3.4989	5.5401	4.5118	3.3814	6.6104	3.908	4.4942	7.9696	3.5003	1.9475	6.8696	3.4763	6.6556	6.3289	5.0715	4.4386	5.8554	3.6822	6.7008	6.3294	6.2532	4.6112	5.3987	4.0504	6.1628	4.3424	5.9304	7.6154	3.3517	6.1335	3.5023	6.3916	4.7998	3.6127	5.7807	4.628	5.4232	6.0312	6.3163	3.4957	4.4575	5.4663	4.2024	3.5627	5.3238	4.9609	6.2965	3.6741	5.0565	3.5741	4.2132	5.1428	4.3447	3.2444	5.1908	6.2622	5.6779	7.0002	4.7564	6.7988	2.8928	5.5172	6.372	4.1377	4.1055	4.0893	5.8712	3.6527	4.9829	6.3837	4.0918	3.7217	3.7891	4.5513	5.5446	7.1278	5.4344	3.6984	3.9489	4.3824	5.5376	5.7511	6.0222	4.8002	5.4563	2.9999	6.1562	4.6937	3.6241	3.13	6.2911	6.3812	4.6272	4.8462
ATG9B	4.8983	4.8148	6.307	5.5039	5.7109	6.3561	2.5991	6.7887	7.5172	6.3322	5.039	3.5474	5.3009	3.6331	3.3451	5.3274	3.6264	4.8166	2.9587	5.9058	5.9583	6	7.1693	3.9658	6.8308	6.4303	6.6526	5.1444	4.9276	4.63	4.2578	7.0049	3.2733	5.1246	3.7829	5.2426	6.1703	2.9762	4.4658	5.0957	2.7103	2.9916	5.5433	4.3868	3.0734	4.2021	4.4441	3.3835	2.625	6.2427	4.6341	4.1789	6.0278	3.9375	5.187	4.5388	4.5373	2.7698	6.0719	5.8328	6.4297	3.9715	3.5355	3.0679	6.2304	3.6135	5.9062	4.0414	4.5032	4.8016	5.1925	3.5133	2.9547	5.544	3.8312	5.2146	4.9016	4.3559	5.1362	2.3862	2.8351	4.2612	3.09	4.2451	3.816	6.4531	5.8022	4.9493	5.9167	3.9502	3.9761	6.1968	4.7487	4.2279	3.3831	6.9138	5.1179	4.5083	3.9484	4.1045
ATHL1	8.6618	8.4229	9.4943	7.991	8.0209	8.2959	9.0791	6.8223	8.3691	7.4585	9.6978	7.135	8.2934	7.3716	8.2661	6.9173	9.2718	8.6319	7.9008	8.3844	7.0764	7.6343	8.956	8.3875	8.0471	9.6372	8.0496	7.261	8.033	7.401	7.9963	9.7923	6.1211	7.0632	7.2141	7.7494	6.642	6.4523	7.5323	8.4514	7.1514	7.6144	6.5243	7.6615	8.1378	7.3326	7.2048	6.8582	6.491	7.5535	8.2431	7.7385	6.0586	7.0094	8.4939	8.0402	7.3241	6.7581	7.8203	7.0657	6.8347	8.0331	6.0347	6.6426	6.0664	7.2533	7.9807	7.0966	8.0216	7.6131	6.1538	8.4169	7.2118	7.1961	7.2725	6.2523	6.6311	6.547	6.8446	6.1253	7.3739	6.6846	6.8882	7.315	7.846	9.5265	7.5554	7.1175	6.878	7.6177	8.413	8.0772	7.9337	6.5131	7.6821	9.4683	7.7725	7.217	6.7218	7.4282
ATOH1	0.8555	1.8431	-1.9181	-1.9181	-1.9181	1.1066	0.1142	4.5351	1.2401	0.6175	-1.9181	4.5225	0.3356	-1.9181	-1.9181	1.2126	-1.9181	-1.0122	3.7787	-1.9181	3.7216	0.4772	3.3405	2.1556	1.362	-1.0517	0.3591	0.6202	3.0971	-1.9181	-1.9181	-1.9181	1.7062	0.6896	-0.4381	-1.9181	4.0067	1.6556	-0.4651	-1.9181	2.5761	-1.9181	-1.9181	6.5875	1.3413	-1.9181	1.2586	-1.9181	-1.9181	7.8052	3.3603	-1.9181	4.621	5.2793	-1.9181	-1.9181	2.9787	4.254	3.9206	2.0158	-1.9181	-0.7367	0.6512	-1.9181	1.7711	1.332	7.4842	-1.9181	-1.9181	4.0114	-1.9181	0.3448	0.6957	-0.3008	3.5939	2.5141	-0.1741	0.8732	4.4451	5.5431	3.1063	-1.9181	1.3601	-1.9181	0.8339	-1.9181	2.547	0.8517	1.1545	4.9462	-0.8115	2.0999	1.3132	2.4856	1.1862	1.6942	0.2522	0.9262	-0.6019	1.6687
