	TCGA-2A-A8VL	TCGA-2A-A8VO	TCGA-2A-A8VT	TCGA-2A-A8VV	TCGA-2A-A8VX	TCGA-2A-A8W1	TCGA-2A-A8W3	TCGA-2A-AAYF	TCGA-2A-AAYO	TCGA-2A-AAYU	TCGA-4L-AA1F	TCGA-CH-5737	TCGA-CH-5738	TCGA-CH-5739	TCGA-CH-5740	TCGA-CH-5741	TCGA-CH-5743	TCGA-CH-5744	TCGA-CH-5745	TCGA-CH-5746	TCGA-CH-5748	TCGA-CH-5750	TCGA-CH-5751	TCGA-CH-5752	TCGA-CH-5753	TCGA-CH-5754	TCGA-CH-5761	TCGA-CH-5762	TCGA-CH-5763	TCGA-CH-5764	TCGA-CH-5765	TCGA-CH-5766	TCGA-CH-5767	TCGA-CH-5768	TCGA-CH-5769	TCGA-CH-5771	TCGA-CH-5772	TCGA-CH-5788	TCGA-CH-5789	TCGA-CH-5790	TCGA-CH-5791	TCGA-CH-5792	TCGA-CH-5794	TCGA-EJ-5494	TCGA-EJ-5495	TCGA-EJ-5496	TCGA-EJ-5497	TCGA-EJ-5498	TCGA-EJ-5499	TCGA-EJ-5501	TCGA-EJ-5502	TCGA-EJ-5503	TCGA-EJ-5504	TCGA-EJ-5505	TCGA-EJ-5506	TCGA-EJ-5507	TCGA-EJ-5508	TCGA-EJ-5509	TCGA-EJ-5510	TCGA-EJ-5511	TCGA-EJ-5512	TCGA-EJ-5514	TCGA-EJ-5515	TCGA-EJ-5516	TCGA-EJ-5517	TCGA-EJ-5518	TCGA-EJ-5519	TCGA-EJ-5521	TCGA-EJ-5522	TCGA-EJ-5524	TCGA-EJ-5525	TCGA-EJ-5526	TCGA-EJ-5527	TCGA-EJ-5530	TCGA-EJ-5531	TCGA-EJ-5532	TCGA-EJ-5542	TCGA-EJ-7115	TCGA-EJ-7123	TCGA-EJ-7125	TCGA-EJ-7314	TCGA-EJ-7315	TCGA-EJ-7317	TCGA-EJ-7321	TCGA-EJ-7327	TCGA-EJ-7328	TCGA-EJ-7330	TCGA-EJ-7331	TCGA-EJ-7781	TCGA-EJ-7782	TCGA-EJ-7783	TCGA-EJ-7784	TCGA-EJ-7785	TCGA-EJ-7786	TCGA-EJ-7788	TCGA-EJ-7789	TCGA-EJ-7791	TCGA-EJ-7792	TCGA-EJ-7793	TCGA-EJ-7794
ATOH7	-0.3594	2.0882	-1.00E-04	3.3431	3.1424	2.6788	1.4426	0.1551	1.2401	1.6901	0.6451	0.5463	0.6729	1.6073	1.7374	1.7415	-1.9181	1.4892	0.0792	1.7144	-0.553	0.4772	1.2274	3.1121	1.362	1.8203	2.1166	0.6202	-0.4634	0.1108	1.0101	0.3787	-1.9181	1.9899	1.6349	-0.4584	2.3241	0.772	-0.4651	1.2872	0.49	0.0526	1.2796	1.6144	-0.1313	-0.4276	0.9761	-0.321	1.2377	0.7232	-0.055	0.9466	0.6711	2.0681	0.2941	1.0996	0.8385	2.4319	0.6401	-0.9977	2.5681	0.3461	-0.5148	-0.5345	0.8788	-0.0885	1.5943	1.7886	0.082	-0.6586	2.22	0.6828	1.9214	0.9307	0.5717	0.2297	1.4603	0.0678	-0.2275	-0.5594	1.1814	-0.2471	0.5016	0.6195	0.8339	2.105	1.0871	1.2754	0.6528	2.1437	1.0674	1.0847	0.7245	-0.689	-0.7377	2.5318	0.2522	-0.1222	1.161	-0.1324
ATOH8	7.8706	7.3729	8.8892	7.8887	8.8337	4.1097	8.9633	7.5173	8.3226	6.4149	7.944	8.1089	8.5128	7.5897	8.0526	7.9991	10.0011	7.9573	9.4018	8.1778	7.1203	6.4901	6.4076	6.1922	5.3192	7.4051	6.2207	8.2796	9.1221	7.4489	6.3539	7.0306	6.3897	7.7205	8.2737	9.1501	8.2282	9.1862	8.0048	6.6568	6.7545	9.4323	8.1081	9.6086	8.6367	7.4518	7.712	9.1935	8.4523	8.0117	8.9154	9.5619	7.5334	7.7831	9.5426	6.3669	8.2929	8.1638	8.7712	7.5872	8.6076	7.0746	8.0938	8.7148	7.6224	8.1585	8.43	8.4762	8.1813	7.9828	8.0162	8.3651	8.2776	8.2136	8.7452	7.2238	7.8159	8.851	7.6059	8.6096	8.7515	7.1777	8.3387	7.5155	8.7789	8.5459	8.7447	7.6405	7.4004	6.8943	8.9802	6.9509	8.8633	7.7681	7.9904	5.6046	9.2105	8.8563	7.7781	8.9007
ATP10B	1.2168	-1.9181	-0.6615	-1.9181	0.3474	-1.9181	-1.9181	-1.9181	-0.3419	-1.9181	1.8989	0.8944	-0.7442	1.1711	1.0748	-1.9181	1.8939	-0.4602	-1.9181	-1.9181	0.9506	1.6243	1.9631	-0.7686	0.2472	2.1384	1.4005	0.9717	0.7195	1.4384	-0.0523	-0.0664	-0.6452	-1.9181	2.3219	1.6058	0.0774	-0.0202	1.3582	-1.9181	1.3472	1.6309	0.5856	1.949	3.0081	0.7667	0.6242	2.7432	-0.7049	-1.0128	2.2981	0.5382	-0.4998	-0.0308	2.431	-1.9181	1.1992	0.9819	1.9345	0.2743	-0.2667	1.9836	0.6512	1.4955	-0.1612	1.1968	0.4505	0.778	0.4039	0.7993	1.7669	1.3844	1.435	-1.9181	0.1098	-1.9181	0.5927	1.9224	0.2003	-0.5594	0.3406	-1.9181	0.0456	0.971	-0.8155	0.1004	3.0025	-0.8044	1.6811	-0.2208	0.5708	-1.9181	1.3132	0.755	-0.0971	0.6211	-1.011	-0.1222	0.5337	-0.1324
ATP11A	8.001	8.9602	12.0729	10.4033	6.523	8.7779	10.2537	8.2447	8.7838	10.8128	9.6551	10.9868	10.8911	11.0164	11.4534	11.6982	8.9246	11.9965	11.4908	10.5834	10.4462	9.3646	10.0392	11.8601	9.182	12.5443	10.5691	9.3862	9.219	10.5128	10.7308	10.6359	9.1802	10.3401	10.3365	9.6172	9.6754	8.0735	9.5521	11.9671	12.643	9.923	11.0861	10.8808	10.9315	10.2357	10.9818	10.0734	9.9192	11.3583	11.5287	10.3785	9.8117	9.3401	10.2888	10.6531	11.1929	9.6533	10.7487	10.2636	9.4025	10.6492	9.2238	10.6204	9.8916	9.2878	9.4179	10.8675	11.9848	11.474	11.3344	10.1827	11.7408	12.3035	9.5886	9.7963	11.5348	9.3246	9.4724	9.2039	11.2621	12.4384	8.995	10.8538	10.7295	9.735	9.8293	9.3897	10.5407	9.7244	10.8191	12.0391	11.4969	9.1579	10.0774	10.7721	9.8141	10.0891	10.1823	9.3018
ATP12A	2.2925	-0.1059	6.9346	1.1025	-1.9181	0.2738	2.5824	1.8719	-1.9181	4.86	4.9548	2.5471	-1.9181	0.0834	7.9162	7.1172	3.2078	7.3569	1.4005	1.559	-0.553	0.4772	2.5792	0.908	2.9341	8.8194	7.6252	3.9174	1.0754	0.1108	4.0009	8.3168	0.8188	1.3917	9.9859	1.0822	0.0774	-0.0202	1.9794	0.9234	9.6301	1.0476	5.3595	4.9558	7.3743	2.0342	2.9865	7.1526	1.6117	7.4582	1.4978	6.721	-0.4998	2.9569	4.0259	7.3042	-0.3724	0.8166	6.3012	2.5103	2.6998	4.5492	2.4563	5.6586	-1.9181	5.7698	3.1827	9.2613	5.3394	2.7876	-1.9181	2.4038	7.3572	6.6807	3.8997	1.057	7.9343	0.526	1.2191	-1.9181	8.467	3.5281	1.8946	3.2616	4.1597	0.9104	5.7099	2.9367	3.702	1.8191	5.6875	5.7902	3.5067	2.3909	5.1064	0.6211	3.2522	-0.7571	4.4302	0.6415
ATP13A4	0.3724	-0.1059	-1.00E-04	-1.9181	-1.9181	-1.9181	1.4426	-1.9181	0.878	0.6175	2.2002	8.7031	0.6729	0.543	1.0748	-0.3625	0.3787	-0.4602	-1.9181	-0.0968	-1.9181	0.4772	1.2274	-0.1372	0.7208	-0.1234	-0.7276	1.6932	0.7195	0.1108	0.7348	2.1397	1.0967	-0.7331	2.6826	0.9151	0.0774	-1.9181	-0.4651	0.4357	0.9813	1.3685	-0.8019	-0.5903	3.9543	-1.9181	0.6242	-0.321	-0.7049	-1.9181	0.2574	-0.0333	-0.4998	1.7986	-0.7732	2.0076	1.1992	0.1632	-0.1337	-0.0392	-0.2667	1.9836	1.2875	0.9767	1.6315	-0.4836	-0.2941	0.778	1.7824	1.0766	1.7669	0.3448	0.6957	-0.8938	2.7614	0.561	0.5927	-0.6074	-1.9181	-1.9181	-0.101	0.7737	-1.9181	-0.5385	0.5645	-1.9181	1.7503	-1.9181	0.3165	-0.2208	1.9734	-0.8009	0.9485	1.4619	0.6828	0.9728	-0.0598	1.5268	0.8812	0.9137
ATP1A2	8.9335	9.3639	6.054	9.4954	8.0569	4.6057	7.7257	7.8738	8.77	8.9659	7.4918	6.8611	8.9864	8.978	7.5029	6.2424	10.1869	8.609	8.9993	9.6429	8.5893	7.5282	6.6052	7.6518	6.7198	8.7677	7.365	10.6386	9.9557	9.1714	9.0819	8.0593	8.959	8.0618	7.4859	10.662	8.6758	5.1545	9.8753	6.2353	6.1483	9.1796	8.5151	9.0962	9.0427	9.3037	9.653	11.2398	8.2571	9.2737	10.5475	10.5469	8.7921	9.534	8.9148	7.3777	9.5259	9.9775	9.5943	9.1012	10.8952	8.0588	10.5447	9.5163	10.2672	9.7561	8.3664	8.6695	9.089	9.0029	6.0754	9.226	9.3302	9.5849	9.8375	9.6787	8.7321	10.0011	9.3746	9.5078	6.7785	7.8726	9.712	8.0277	8.9507	9.2477	10.2727	10.3697	9.8902	8.2244	10.1503	7.9619	10.9957	10.6678	9.41	6.3384	10.3404	11.1331	10.6342	9.7907
ATP1A3	-0.3594	-0.1059	3.2962	1.8315	-0.3801	7.5045	1.4426	1.8719	3.7414	3.4941	2.9311	0.5463	1.7033	3.1062	4.7033	-1.9181	3.0958	2.0684	3.8984	1.7144	2.6095	3.8437	5.8937	4.8068	3.0187	5.6353	2.593	2.7283	3.3131	2.9262	0.7348	1.8939	-0.6452	1.1934	-0.4381	3.594	0.8841	1.2804	1.8005	-0.3065	1.8812	3.5671	2.6173	6.8145	3.2729	1.411	1.4948	2.9574	2.7855	3.1396	3.8995	2.4569	3.0411	2.3963	1.9223	1.8661	2.5487	3.1403	3.5739	1.8366	0.4831	2.2097	2.0643	1.4955	3.4555	4.4072	3.531	2.7323	2.3299	3.1887	-0.1644	2.2084	2.6386	2.3756	3.0004	2.6594	2.1063	2.4216	1.5447	2.2685	2.0947	4.6508	2.1653	3.4965	2.0742	3.6759	3.3482	2.6127	2.7661	1.5535	3.1882	2.0999	2.0532	2.2896	2.3094	0.6211	2.5417	3.1325	2.8008	2.1618
ATP1A4	-0.3594	0.6725	1.3048	0.2701	0.8287	1.1066	0.1142	-1.9181	0.3933	-0.5399	0.1773	-1.9181	0.6729	-0.5949	1.0748	-0.3625	-0.0664	1.3652	0.5382	0.683	0.1357	-0.2718	0.3818	-0.7686	-1.9181	0.6521	0.9718	-0.5378	-1.9181	0.1108	1.7713	-0.0664	-1.9181	-1.9181	-1.9181	0.2522	-1.9181	-0.0202	1.0731	-1.9181	0.49	0.8557	-1.9181	0.5493	4.5209	-0.4276	0.1581	4.3286	0.7315	-1.9181	2.2981	3.2877	-0.4998	-0.6857	3.6374	0.4767	0.3565	0.9819	2.4435	-1.9181	1.3397	0.3461	-0.5148	-0.5345	0.6079	-0.4836	-0.2941	2.4555	1.5414	0.0035	-1.9181	0.9563	0.108	1.5853	0.5717	-1.9181	0.5927	-1.9181	0.2003	-0.5594	-0.7406	-1.9181	0.0456	-1.9181	-0.1979	0.1004	2.8864	0.8517	1.3521	0.2076	1.8566	-0.1789	1.9533	-0.689	1.5587	0.6211	-0.4584	2.459	0.0748	1.34
ATP1B2	6.7185	6.544	4.7604	5.8964	4.3518	3.0517	6.2385	5.6899	7.5137	4.981	7.1834	7.5391	6.2925	6.3808	5.1147	5.6303	6.8525	6.5169	6.3682	5.9451	5.3622	5.6237	5.9433	6.2905	4.4248	7.0984	6.484	6.3066	7.2331	5.8412	5.7306	5.001	5.8006	5.5988	4.4311	7.8221	6.9858	4.0124	7.2436	3.4061	4.2095	7.1249	5.2928	6.5387	6.6028	5.7265	6.5333	7.0513	5.755	5.9258	6.4087	6.9321	6.6416	5.76	6.3058	5.2698	5.6302	7.2075	5.8539	6.6701	5.8593	6.0227	5.956	7.0002	7.266	6.6154	6.1398	5.6565	6.5577	6.0184	6.1151	6.3989	6.7817	6.5436	6.566	7.2032	6.3192	6.2896	6.397	7.0159	4.1121	5.9297	6.6388	5.5772	6.8571	7.2939	7.2316	7.2635	6.5509	6.269	6.726	4.3705	6.9287	7.0315	6.3583	5.8684	7.5552	7.6821	6.5862	7.0238
ATP1B4	4.0654	4.5964	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.3419	0.6175	0.6451	-1.9181	-0.7442	-1.9181	-1.9181	-1.9181	1.5975	-1.9181	-0.5984	-0.7374	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	0.474	-1.9181	-1.9181	-1.9181	0.0774	-1.9181	-1.9181	-0.3065	-1.9181	0.6342	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	1.268	-1.9181	0.9121	6.3808	0.5382	-1.9181	-0.6857	-1.9181	-1.9181	-1.9181	0.9819	-0.1337	3.4455	-1.9181	3.2718	-1.9181	0.9767	2.0154	6.0651	-0.8887	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	2.5874	0.1098	-0.2011	-1.9181	1.1528	2.3164	0.1276	-1.9181	-1.9181	-0.6253	-1.9181	-1.9181	0.9104	-1.9181	-0.1834	-0.7575	-1.9181	-1.9181	-1.9181	0.1338	5.1777	4.0893	0.9728	-1.011	6.9532	2.8802	0.9137
ATP2A1	3.8245	4.5964	3.5437	4.9253	4.0782	3.8511	3.3906	2.5317	4.3357	2.8989	1.281	1.1747	2.4811	3.6074	2.8111	1.5012	4.6898	3.8211	3.6481	3.7008	2.5074	2.9246	3.3405	2.2563	3.0985	3.8282	3.3847	2.4207	3.0971	3.3287	2.267	2.022	5.3217	3.4213	1.6349	5.5345	2.3241	1.2804	3.6645	1.5775	1.6388	3.7713	4.2331	1.178	2.7545	4.5093	4.3711	3.6543	0.3911	3.6449	6.7361	4.1183	1.025	2.9569	4.3086	1.3326	3.4502	5.5508	1.512	3.5067	6.6354	1.8558	5.4811	2.5362	0.6079	4.3762	1.1329	3.9398	1.9889	2.23	1.4728	2.2084	2.5072	4.8439	2.1167	1.8456	0.2597	4.9275	3.1871	1.661	1.8494	0.1785	1.7374	2.0285	4.2545	4.3824	3.0573	2.8157	3.3322	2.2374	3.8687	2.6899	4.1039	4.9967	7.3677	2.819	2.1483	2.8347	4.6272	3.0637
ATP2A3	12.389	8.793	9.8916	10.8998	9.0819	5.7191	9.8638	7.7051	9.5204	9.9434	10.5328	9.6297	9.6707	9.1104	11.4846	8.79	10.0498	10.8531	9.4236	9.6775	8.3504	9.2663	10.3482	8.1012	9.1912	10.0914	9.0553	9.2155	9.5827	9.5684	10.2817	10.0983	7.8003	8.5881	10.0999	9.8953	8.0374	11.0718	10.3622	9.723	11.0418	10.2697	10.1571	9.1275	10.5309	9.9744	10.6856	10.0655	9.6018	10.969	10.1156	11.2702	8.805	8.984	9.5562	9.1029	9.5119	9.1507	10.8409	11.0657	10.2508	9.174	10.724	10.2898	9.0529	11.8984	8.3273	12.2648	10.2478	10.7205	9.1602	10.4672	10.1506	10.1577	9.4652	8.2356	10.0486	10.0181	9.7946	7.9651	9.9102	9.9464	8.21	9.7818	10.252	10.7379	9.9216	8.8332	9.4071	10.9734	10.9441	10.0807	10.0689	8.8607	9.3092	7.7934	9.9307	9.9481	10.8889	10.2818
ATP2B2	1.952	2.9213	3.4975	2.9625	1.7171	-0.4407	1.2074	1.4912	2.3173	2.5276	2.5594	5.0935	0.6729	0.891	1.9813	-1.9181	-0.0664	1.4892	1.1661	0.3452	0.1357	-0.2718	1.5164	1.3341	0.7208	-0.1234	4.9609	-0.5378	2.2843	1.4384	1.2412	0.7184	1.3297	-0.0913	0.2769	1.232	0.0774	-0.0202	1.0731	0.9234	0.49	2.1324	4.6608	2.6458	1.67	-0.4276	0.1581	1.7991	0.3911	1.3645	2.7612	1.5248	0.6711	-0.6857	1.1294	0.0228	1.9335	2.1134	3.9511	1.2573	0.974	1.56	-0.5148	2.1773	-0.7871	2.1844	1.4562	1.3701	0.4039	1.3092	1.1029	1.1862	0.4316	0.1182	1.8166	-0.8178	0.2597	-0.6074	1.3911	2.2685	-1.9181	0.5066	0.5016	1.4896	1.5834	2.6601	1.2836	1.9857	-0.7575	1.0321	4.6949	0.5871	2.1466	1.0309	0.9563	0.6211	0.2522	-0.1222	2.2023	-0.1324
ATP2B3	-0.3594	-1.9181	-1.9181	-1.9181	-0.3801	-1.9181	-1.9181	-0.5374	1.5293	0.9689	0.6451	-1.9181	-1.9181	-0.5949	-1.9181	-1.9181	-0.7136	-1.9181	-1.9181	-1.9181	-0.553	0.4772	-1.9181	-0.7686	-1.9181	-0.5142	0.9718	-0.5378	1.0754	0.1108	-1.9181	-1.9181	0.0203	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.261	-0.9376	-0.8019	0.5493	-0.7642	-1.9181	-1.9181	-1.9181	-1.9181	-0.4606	-1.9181	-0.994	-1.9181	0.4179	-0.1431	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.4836	-0.8887	-1.9181	-1.9181	-1.9181	-0.1644	-1.9181	-0.9008	-0.8938	-0.5739	-1.9181	-0.1741	-1.9181	-1.9181	-0.5594	-0.7406	1.6575	0.5016	0.6195	0.233	-1.9181	-0.7994	-1.9181	-1.9181	-1.9181	-1.9181	0.2544	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.1222	-1.9181	-1.9181
ATP2B4	10.5376	10.314	9.435	11.3748	9.6617	7.1775	10.3888	9.4197	10.5472	10.7771	11.548	9.6334	11.0934	11.2356	10.0014	8.6914	12.1357	10.2544	11.2336	11.0494	10.5658	10.118	10.6419	10.7658	9.5022	10.8485	10.3115	12.0816	12.5773	11.376	10.6855	10.6014	10.8574	10.5395	11.0888	12.1615	10.3933	9.0237	11.7724	10.6371	10.1763	11.8977	10.5267	10.2088	12.1205	10.9552	11.7411	12.6058	11.249	11.0437	11.7453	11.9353	11.2306	10.7511	11.5967	10.4333	11.7397	11.5671	11.3006	11.1138	12.2799	10.5854	12.5325	11.5682	11.5275	11.2405	10.4045	10.8239	11.3981	11.7132	10.4377	11.72	11.5087	10.8612	11.5845	10.6328	11.4023	11.6984	10.5657	10.6706	10.8183	11.0765	10.4834	10.2323	11.6586	11.6741	11.6577	11.56	11.6499	10.6171	12.0082	10.1518	12.5179	11.0233	11.0412	9.4244	11.9088	12.3704	11.6725	11.8411
ATP5L2	0.8555	-1.9181	-0.6615	0.7455	-0.3801	0.2738	0.1142	-1.9181	-1.9181	0.1519	-0.5193	0.5463	-0.1056	-0.5949	-1.9181	-1.9181	-0.7136	0.25	0.0792	0.9567	0.5999	-1.9181	0.3818	0.6361	-0.4624	0.1837	-0.7276	0.6202	0.246	0.1108	-0.0523	-0.0664	1.0967	-0.7331	0.7528	-1.011	-1.9181	-0.0202	-1.9181	-0.3065	-1.9181	0.0526	-0.1802	0.5493	-1.9181	-0.4276	-0.5349	-1.9181	-1.9181	-1.0128	-1.0078	-0.994	0.2014	-0.6857	-0.7732	1.3326	-1.9181	-0.1424	-0.7661	-0.9977	-1.9181	-0.7367	1.7275	0.6249	-0.7871	-0.0885	0.4505	0.778	-1.9181	-0.6586	-1.9181	-0.7377	-1.9181	-1.9181	0.1098	-1.9181	-0.1741	1.5883	-1.9181	-1.9181	-0.7406	0.1785	-0.6253	-1.9181	1.2568	0.1004	-0.7994	-0.8044	-0.1228	-0.2208	1.5903	-0.8009	-1.9181	-0.0349	-0.0971	0.9728	0.5084	-0.7571	-1.9181	-1.9181
ATP6V0A4	-0.3594	-1.9181	0.7951	-0.4438	0.8287	-1.9181	0.5766	-1.9181	-0.3419	-1.9181	-0.5193	0.5463	1.7033	-0.5949	2.1898	-1.9181	3.3118	-0.4602	5.4001	3.5438	0.9506	-1.9181	1.757	-1.9181	1.0767	2.8976	1.8711	-1.9181	3.5584	1.4384	-1.9181	3.2607	-1.9181	2.2161	0.7528	-0.4584	-1.9181	4.7909	1.9794	1.5775	-1.9181	1.0476	1.4525	-0.5903	4.5209	-0.4276	1.2586	5.7366	1.2377	1.6026	3.5442	6.7307	0.2014	0.7598	7.0618	-0.6432	1.9335	0.4154	1.1409	-0.4403	3.7329	-1.9181	3.9131	1.4955	-1.9181	0.6928	-0.2941	3.4203	3.082	1.8419	-0.1644	0.9563	2.0211	-0.3008	3.9385	1.2529	3.5943	-1.9181	0.7978	-1.9181	1.1814	-1.9181	-0.6253	-1.9181	4.721	1.9629	3.3915	2.1943	1.9488	1.2276	4.1914	-0.8009	1.8461	-0.0349	-0.7377	0.6211	5.5417	0.9262	0.0748	3.2223
ATP6V0D2	-1.9181	1.5475	2.2254	0.7455	-0.3801	2.0151	2.4804	2.9827	3.0233	0.6175	6.8018	4.0878	5.5175	1.4056	1.9813	-0.3625	4.6703	3.1404	5.2581	3.5847	2.9581	2.074	-0.3514	1.1367	3.864	4.1798	5.067	2.9817	4.2594	1.8178	1.9121	3.7422	3.1514	4.7309	4.0325	2.6521	-1.9181	2.903	5.8968	3.2498	2.5761	4.1725	1.2796	1.178	5.3385	2.3374	3.2673	5.5998	1.6117	2.5383	3.2588	5.9712	3.3221	5.2793	6.3058	3.3265	4.3631	5.5375	2.2609	1.5175	4.2012	5.1764	4.2466	2.9077	2.1236	3.8312	2.7226	3.8556	3.2519	3.1887	3.1784	4.3004	4.0932	0.4425	5.3135	2.9692	3.6309	1.765	3.9353	4.4727	2.6495	1.6575	0.0456	-1.9181	4.893	2.2345	4.734	3.7558	3.7378	4.222	5.0408	2.8838	2.9558	2.0627	2.9951	2.3028	4.9997	2.767	1.9311	5.0147
ATP6V1B1	3.5979	3.83	6.5827	6.4562	2.6578	3.1316	3.2735	3.3258	3.3544	5.2612	5.0522	2.5471	4.1605	2.5432	5.4137	3.921	5.6823	3.446	5.4662	6.1497	1.8483	3.4561	1.757	4.0055	4.7054	6.2937	4.9291	2.6329	4.2243	3.0732	5.3274	4.6703	2.1334	3.1195	5.4538	2.2917	4.9214	4.2497	2.2818	2.8751	3.6783	3.2532	4.6608	1.6144	5.0727	4.4153	3.4469	4.9201	2.7855	4.4275	3.9438	7.0863	4.5681	3.6331	6.1255	2.8128	4.2522	3.0686	4.3675	4.5637	3.7931	3.2207	3.4211	2.3071	0.2741	2.7652	4.4612	4.2567	4.0127	4.0114	-1.9181	4.6476	2.7	3.9873	5.2837	2.5886	2.3892	4.9641	2.2284	0.9414	3.6188	0.9991	1.7374	2.4199	5.124	5.7539	5.7268	3.8513	2.6203	2.3255	6.2926	3.5114	5.2271	1.6372	2.7295	5.5533	5.1856	2.1754	1.5969	3.0637
ATP6V1G3	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	1.2074	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.1056	-1.9181	-0.1867	-1.9181	0.3787	-1.9181	1.7789	1.559	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.5142	-1.9181	-0.5378	1.3606	-1.9181	-0.7025	-1.9181	-1.9181	-0.7331	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	1.81	-1.9181	-0.5349	-0.321	-1.9181	-1.0128	-0.055	1.844	-1.9181	-1.9181	1.7948	-1.9181	-1.9181	-0.5307	-1.9181	-1.9181	0.4831	-1.9181	2.2071	-1.9181	-1.9181	-1.0294	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.9008	-1.9181	1.6394	-1.9181	-1.9181	-1.9181	-1.9181	-1.9181	-0.101	-1.9181	-1.9181	-1.9181	0.8339	-1.9181	1.4565	-0.1834	-1.9181	-1.9181	0.5708	-1.9181	-0.8834	-1.9181	-0.7377	-1.9181	0.5084	-1.9181	-1.9181	-0.7649
ATP8A2	6.7534	1.1754	5.8848	8.7401	5.0003	2.0151	9.5512	2.0302	0.3933	7.3727	3.2264	2.6423	6.3406	9.4384	6.6663	2.9933	1.5975	3.0627	0.886	7.0843	4.4284	7.9194	9.4968	5.7576	10.7337	4.9731	2.3264	2.7283	3.1727	7.7677	8.3504	2.022	2.2517	6.8008	5.2888	8.0944	5.451	1.9531	3.7158	8.5903	3.5438	3.4359	6.809	7.6953	6.6076	9.4253	8.4846	5.6774	6.5405	4.643	4.2738	2.7898	5.75	6.808	5.8489	1.3326	6.126	6.814	1.9345	4.0703	6.9713	1.1875	1.5242	5.8938	1.3037	1.4557	3.9464	4.3209	5.3949	7.9552	3.6803	11.3761	6.0936	8.3432	2.1167	4.3606	8.074	7.7187	4.0679	6.4733	6.3704	3.112	1.3601	6.8684	9.1907	6.0549	7.346	5.5851	-0.1228	8.5244	9.4995	9.6238	7.2825	4.6121	3.773	9.4596	2.5417	2.459	7.4045	2.7531
ATP8B4	6.6536	7.2957	4.8179	5.8143	12.0285	5.7947	5.3773	6.8491	9.6093	4.5309	6.2815	8.3693	6.6147	6.9527	7.0606	6.7554	7.6018	5.5745	6.1523	7.8022	8.5971	7.9721	8.7557	5.0923	5.8898	5.4392	4.8465	7.4159	10.037	5.7348	5.3523	5.6726	7.5862	5.3353	5.4998	8.1752	8.4821	9.9346	7.8723	5.5891	5.501	7.1899	4.8582	4.669	6.6408	6.1527	7.0742	7.8022	6.8064	5.688	6.635	7.2484	6.406	7.1283	8.2591	5.5842	8.6085	9.8003	5.6178	5.8015	6.8978	6.7271	8.7405	6.4167	8.7756	6.0455	5.6235	5.3426	6.1748	6.5484	5.4662	7.4251	7.3062	5.5477	8.0848	7.9302	6.5991	8.1612	6.0314	6.184	6.5863	5.8525	6.1314	5.6399	6.7993	6.7772	8.1834	8.0952	8.0818	5.6642	6.7466	5.5541	7.0844	7.5716	6.4496	9.0372	7.754	7.7428	7.5961	9.9917
ATRNL1	5.3001	5.0659	7.21	6.3098	2.6578	2.8773	5.8355	5.7818	7.3974	5.0378	4.5372	3.6577	6.8449	5.6764	6.1091	4.6963	6.0858	5.1172	5.8791	5.7701	4.7745	4.7112	4.1209	8.1658	4.115	5.0223	3.893	6.6552	7.5023	6.8275	5.389	5.5182	4.9366	4.6363	4.5814	5.6388	6.7306	2.7566	6.6312	3.9539	6.5764	5.3467	4.5699	6.0135	7.4404	5.7265	7.709	7.3645	5.4441	5.8756	5.5769	6.6408	7.5809	5.8786	7.1094	4.2228	6.3581	6.3937	5.2148	6.3407	5.7267	6.4118	6.3896	7.0474	8.5224	4.9603	7.0999	5.5081	6.9212	6.7398	4.1572	7.6391	7.638	7.6866	6.6793	8.3881	7.6628	6.1691	6.5859	8.2207	6.1974	4.04	6.1627	4.798	6.7755	5.4552	6.7772	8.1634	7.0409	5.5592	7.1202	5.5823	7.684	7.6375	8.4127	3.4432	8.5246	8.2471	5.7936	6.8805
