	TCGA-DK-A1A3-01A-11R-A13Y-07	TCGA-BT-A0YX-01A-11R-A10U-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-E5-A2PC-01A-11R-A206-07	TCGA-G2-A2EK-01A-22R-A18C-07	TCGA-DK-A1A7-01A-11R-A13Y-07	TCGA-G2-A2EJ-01A-11R-A180-07	TCGA-GC-A3I6-01A-11R-A20F-07	TCGA-DK-A3IU-01A-11R-A20F-07	TCGA-BT-A20T-01A-11R-A14Y-07	TCGA-DK-A3IV-01A-22R-A21D-07	TCGA-G2-A2ES-01A-11R-A180-07	TCGA-DK-A3IL-01A-11R-A20F-07	TCGA-GC-A3RB-01A-12R-A220-07	TCGA-FD-A3B6-01A-21R-A20F-07	TCGA-H4-A2HO-01A-11R-A180-07	TCGA-DK-A3IN-01A-11R-A20F-07	TCGA-G2-A2EC-01A-11R-A180-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-DK-A1AC-01A-11R-A13Y-07	TCGA-BL-A3JM-01A-12R-A21D-07	TCGA-DK-A2HX-01A-12R-A18C-07	TCGA-DK-A2I4-01A-11R-A21D-07	TCGA-FD-A3N5-01A-11R-A21D-07	TCGA-BT-A3PH-01A-11R-A220-07	TCGA-FD-A3NA-01A-11R-A21D-07	TCGA-G2-A2EF-01A-12R-A18C-07	TCGA-BT-A3PJ-01A-21R-A220-07	TCGA-BT-A20V-01A-11R-A14Y-07	TCGA-BT-A20P-01A-11R-A14Y-07	TCGA-GV-A3QG-01A-11R-A220-07	TCGA-CF-A1HS-01A-11R-A13Y-07	TCGA-G2-A2EO-01A-11R-A180-07	TCGA-CF-A3MH-01A-11R-A20F-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-DK-A2I2-01A-11R-A180-07	TCGA-DK-A2I6-01A-12R-A18C-07	TCGA-DK-A1AD-01A-11R-A13Y-07	TCGA-FD-A3B4-01A-12R-A206-07	TCGA-GV-A3JV-01A-11R-A220-07	TCGA-FD-A3B7-01A-31R-A20F-07	TCGA-CU-A3KJ-01A-11R-A21D-07	TCGA-GV-A3QI-01A-11R-A220-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-CF-A3MI-01A-11R-A20F-07	TCGA-C4-A0F6-01A-11R-A10U-07	TCGA-HQ-A2OE-01A-11R-A206-07	TCGA-FT-A3EE-01A-11R-A206-07	TCGA-BT-A20O-01A-21R-A14Y-07	TCGA-CU-A0YO-01A-11R-A10U-07	TCGA-GV-A3JZ-01A-11R-A21D-07	TCGA-FD-A3B8-01A-31R-A20F-07	TCGA-BT-A2LB-01A-11R-A18C-07	TCGA-G2-A3IE-01A-11R-A20F-07	TCGA-BL-A13I-01A-11R-A13Y-07	TCGA-BT-A0S7-01A-11R-A10U-07	TCGA-DK-A1A5-01A-11R-A13Y-07	TCGA-G2-A3IB-01A-11R-A20F-07	TCGA-FD-A3B3-01A-12R-A206-07	TCGA-DK-A1AE-01A-11R-A13Y-07	TCGA-CF-A27C-01A-11R-A16R-07	TCGA-DK-A1AB-01A-11R-A13Y-07	TCGA-BT-A20X-01A-11R-A16R-07	TCGA-CF-A3MF-01A-12R-A21D-07	TCGA-DK-A3IK-01A-32R-A21D-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-DK-A1AA-01A-11R-A13Y-07	TCGA-DK-A1A6-01A-11R-A13Y-07
BMPR1A	0.368256973	-0.26464259	-0.356977715	0.346620331	-0.166368801	-0.713559781	-0.652092906	-0.199874318	-0.011950345	-0.48534765	0.246995672	-0.550478484	-0.080671435	-0.607346163	0.403529042	-0.989295868	-0.401388653	0.10366409	0.735429159	-0.033518185	0.03618581	1.041670008	0.262884763	0.147726181	-1.054692556	0.203227333	0.233463813	0.291389176	-0.286879769	-0.168799952	-0.279035493	-0.016896905	0.122041229	-0.421662832	-0.207184495	0.114137911	-0.748566036	-0.774259602	-0.18040987	0.101213762	-0.040883938	-0.680030698	-0.034257462	0.296158771	-0.090351781	0.239478399	-0.250041256	-0.110737405	1.275753981	0.846698405	0.1265701	0.154209163	-0.179104429	0.43862665	-0.267748486	-0.386590047	-0.402886572	0.383113839	0.19033719	-0.757110121	-0.307905179	0.372683823	0.150656198	0.007470162	0.422861079	0.002370566	-0.33182489	0.82821451	0.404580872	0.371292106
BRAF	-0.674600354	-0.644482209	0.148240546	0.221452153	-0.312666128	-0.078275535	-0.070366706	0.027026169	-0.516560349	-0.51963347	-0.199106692	0.290711297	-1.125126115	-0.137813812	0.179699508	-0.704551311	0.795018239	0.59972077	-0.353677224	0.136205303	0.363047059	-0.593303475	-0.888307065	-1.026855669	0.023142499	1.164417538	0.403853659	-1.115027627	-0.401151457	-0.072443218	-0.680137759	0.116124641	-0.579754375	0.328410542	-0.065883826	0.848309445	-0.21274213	-1.040581443	0.834058008	-1.179085885	0.953377392	-0.786200849	1.442230698	1.315905678	1.767039182	0.586705536	-1.227034536	1.26981804	1.900374647	-0.119000901	-0.492084694	-0.001799358	-0.320917043	-0.304351831	-1.29470907	1.006833336	-1.41746971	0.361340032	-0.930820209	-0.784852272	-0.594628399	-0.436694337	0.014167331	0.092411274	-0.08479429	-1.200755865	0.810415204	0.40816545	-0.486175089	0.041416037
BRCA1	-0.713496923	-0.079242123	0.608658655	0.587446525	0.156565156	-1.187881496	0.121058066	-0.206960526	1.004127578	-0.634849943	-0.671001818	0.913362027	0.180807111	-0.70355657	0.688519135	0.156781028	-1.763822682	0.44009052	-1.781789689	0.445483749	0.928373875	1.601102432	-0.854165528	0.388122198	0.175202037	0.46078121	0.595611899	0.165201133	0.418070614	0.655348259	-0.367083122	0.018970633	-1.350440027	-0.110118082	-1.167559359	-0.253540488	-0.01324027	-0.233595924	0.406204962	0.19969547	-0.002484259	0.93792782	0.344174347	2.161993469	-0.141300154	0.386524136	-1.477987859	-0.106102384	0.69253443	-1.000896653	1.05399623	-1.034123672	1.52967336	-0.217755855	-0.282052471	-2.080511544	0.530398484	0.383859696	0.303049333	0.208307966	-0.140094184	1.163793903	-1.131501596	-1.554536773	-1.286366996	-0.262812513	-1.325524501	-0.31955599	-0.932023248	1.259023552
BRCA2	-1.211789048	-0.396908221	0.448411922	1.718406765	-0.446019774	-0.261734602	0.0582397	0.455682358	1.454128166	0.390485693	-1.180611568	0.826494962	-0.617469426	-0.049052023	0.422932893	0.508118772	-1.703281187	-0.706014464	-1.724616569	1.1165584	0.942800759	1.811263096	-0.872829928	0.83394834	-1.406376569	-0.222972038	0.554721073	0.544914445	1.225746979	0.358160129	-1.962684087	0.576371342	1.272367203	-2.172276891	-1.582713971	-1.370904922	-0.396326722	0.470951427	0.235362658	0.396312846	-0.461623642	1.04152696	1.194856668	2.809226279	-0.296733495	0.732103041	-2.164785769	0.069378589	-0.711329379	0.327428269	0.918135213	-0.755795786	1.062621845	-0.011939765	-0.661908276	-2.310705873	-0.419007172	1.167790749	1.35319841	-0.389101027	0.784570532	1.210784402	-1.056954474	-0.232050325	-0.099279518	-1.799776096	-2.454170412	-0.272452182	-1.598872892	0.586946911
BRD3	0.133664164	-0.528552513	0.329043933	0.143727731	-1.028926934	-0.496431279	0.677122619	-0.862943278	0.263661855	0.028739865	-0.3287038	1.115996382	-0.57801987	0.779660486	0.886233574	-0.7602305	-0.323724527	0.421673812	-0.62829003	0.521889913	0.687518448	0.062044471	0.634261401	-0.318809434	-0.03087532	-0.221580472	-0.163774037	-0.156334264	-0.396024849	0.468637662	-1.564925117	-0.124878545	0.914287548	-1.26299473	-1.260004129	0.46683523	-0.573811493	-0.159423653	-0.062099631	0.31479156	-0.703229631	-0.728726544	-0.731194991	0.845725486	-0.079897546	0.442783244	0.488706682	-0.015731159	-0.296923686	-0.347132039	-0.354857349	-0.152686764	0.579124476	-0.559167257	-0.22220677	0.588540474	-0.615475061	0.179756714	-0.242221324	-0.361957701	0.601858594	0.769433522	-0.854313571	1.076682808	-0.549624435	-0.121659514	0.500605007	-0.295286073	-0.518458802	-1.164969865
BRD4	0.323256445	-0.171946141	-0.303600324	0.053599459	-0.650046411	-0.18049771	-0.456536477	0.035545795	0.004530692	0.369516331	-0.181979164	0.41310209	-0.288000835	-0.258225317	0.167859754	-0.630440122	-0.760225757	0.632597433	-0.453825577	0.551314038	0.385447528	0.661434937	-0.294857889	-0.155119004	0.178277453	-0.230441905	0.157611961	0.240828592	0.210413226	-0.52002117	-0.225846814	0.017709693	0.359093116	-0.644099115	-0.389144659	-0.28674091	-0.832913245	-0.561645083	-0.150622828	0.00745178	0.339020985	0.076778099	0.35573849	-0.426119784	0.410081941	0.208203835	-0.091094762	-0.175199637	0.932173571	-0.097783959	0.227403311	-0.221640267	0.011549547	-0.123239025	-0.554153929	-0.42673476	0.208290359	-0.103215665	-0.289906613	0.48182988	0.347464754	0.427474099	-0.066757229	0.103158326	0.403402266	1.196272262	-0.001135456	-0.334100815	-0.053787185	-0.009345632
BRIP1	-0.631059839	-0.278980943	0.709793848	-0.585808858	-0.585010903	-2.056520969	-0.934479645	1.323457829	1.846492114	-1.425089078	-1.468166763	1.698916569	0.058051696	-0.265184982	-0.173549765	-0.385839258	-2.425016474	0.669446393	-2.039081533	1.354058208	0.445808982	2.879240631	-0.544126682	0.6125371	0.400871576	-0.67730378	0.235401104	1.028644462	0.786216689	0.756718681	-0.554399889	0.092026757	1.293464113	-0.925547172	-1.809162481	-0.256103953	-0.942771307	0.129293527	0.094683328	0.618745023	0.886866328	0.959105338	1.028540728	2.48914203	-0.265464213	0.357283322	-2.000660594	-0.432400405	1.066016248	-0.972535788	1.023101385	-0.718290595	1.228841325	-0.006781435	-1.5161663	-3.133875357	-1.152452123	0.806117138	0.352336307	0.076656419	0.460081999	1.603863784	-1.239841186	-1.155035637	0.81296678	-0.970817663	-2.816816345	-0.346612211	-1.89771305	1.442501815
BTG1	-0.419299549	0.42540604	-0.04562994	-1.06975713	-1.345381857	1.70976507	-0.493644252	0.337165887	0.27258642	0.530646231	0.314761937	-0.186262309	-0.159121777	-1.117045413	-0.718536279	0.806193941	1.729293546	-1.251865053	-0.622151409	-0.025104295	0.678431104	-0.152532554	-0.120330195	0.282014084	-0.490535215	-0.858673195	-1.578933242	0.63406318	-0.3421927	1.109489255	-0.040069464	1.091819088	0.214419876	1.039743259	0.559820765	-0.132324598	0.474793365	1.032339883	-0.127421019	-0.123016624	-0.320946262	-0.079571027	0.952005382	0.549539602	1.724754398	-0.001658231	-0.868925221	-0.626504116	0.677769979	-1.48794954	0.086469867	0.473453514	-1.204612488	0.299231168	0.00706399	-1.15464171	-0.054525403	0.291296969	-0.703376232	0.726747469	0.379213203	1.198960218	0.387828018	0.182702043	1.638026954	-1.590710135	-0.410265805	-0.667192566	-0.298660926	-0.332175657
BTK	0.932463458	1.111111703	-2.334040164	2.157144753	-0.555890711	0.935937857	0.606278059	-1.689717152	0.866618332	3.42747689	0.176119501	1.783858265	0.226399259	-0.040252432	-0.589568437	1.892455039	-0.728397415	1.401297614	0.614392508	0.846055462	1.182584016	0.309313996	0.101168391	3.338452887	-0.737570942	-2.370113843	0.356688973	2.018395971	0.615355837	-0.183100524	-1.470922931	3.997019435	0.711329697	1.241204296	-2.507131994	0.137735833	1.57219093	-1.551922646	0.324858067	2.149888648	0.352730854	1.866271565	-0.0011383	-2.464635961	-1.141079159	0.850683277	-1.24010481	-0.980309159	-1.261278147	-0.721122148	3.644252998	0.203812184	-0.089473191	3.204065811	0.776914173	-1.155109397	3.746321499	-0.731283365	-0.295290072	-1.933937368	2.053715047	-1.260104945	-4.122559475	1.216255362	-0.202582285	-2.64579381	-0.121965577	-0.188583247	-1.501006771	0.515597939
BUB1B	-0.380200192	0.091541426	0.826396133	0.023370846	0.035089214	-1.385093434	-0.473006472	0.555974719	0.910310002	-0.652064864	-0.286758424	0.537600668	0.633314476	0.148542007	1.54829693	0.827357178	-1.763433143	0.183549125	-2.25687217	0.647304117	0.327450894	1.393231868	-1.670953632	-0.00361189	0.997069741	0.506732871	0.10475114	0.313466417	0.455161812	0.719287241	-0.076233122	0.101311015	0.742619076	-0.164859989	-0.522794884	-1.655920736	-0.762438493	0.166351761	-0.102455343	-0.531306803	-0.398277337	0.464165158	0.772674635	-0.436910507	0.275656363	0.177740703	-1.114221487	-0.340724834	0.632398317	-0.776075933	0.558924311	-1.357541169	1.159200803	-0.129687688	-0.7615028	-2.885643745	0.700142417	0.3237762	1.080994802	0.357118189	0.472885159	0.961032829	-1.098300288	-0.227895033	-0.635894516	-0.540161981	-1.34559615	-0.034069609	-1.705355804	0.682119343
C15orf21	0.329174455	-0.489049718	-0.703648367	-1.051822924	-1.162262268	0.297167402	-0.026287053	0.182208701	0.834309362	0.175496175	-1.705815334	1.405183483	0.139128582	0.443252487	-0.744355751	1.06257202	-0.439728444	1.286746843	-0.030066913	-0.412451705	-0.215238518	0.903344102	0.978686652	1.145120771	1.103083751	-0.536909524	0.258845268	0.488761948	0.20852784	1.06283915	-1.060712682	-0.563423368	-0.814303818	0.127544824	-0.310071267	-1.088903676	-0.680625465	0.569365033	-0.37441678	0.07322186	-1.175061438	0.537954328	0.175019912	-0.916791757	-1.058953435	0.021547307	-0.973326719	0.127356956	0.614421955	-1.107354479	0.090199997	-0.042447893	0.62015476	0.291108508	-0.172788356	-0.241116829	-0.125893325	-1.185530738	0.217318355	-0.029357888	0.390913887	-0.249216674	-0.029686503	-0.370205766	0.047402299	-1.415763894	-0.534586189	0.432484573	-0.473740319	0.829665232
C15orf55	0.761251922	-2.072740028	1.750724385	-0.676156918	-1.384684369	-0.706129692	1.157207194	-1.345819363	3.398478033	-1.072537269	-1.224718567	2.394364838	0.323179288	1.373342547	-0.501926496	3.018795971	0.909533828	1.867212114	0.041073537	-0.895042359	-0.619000201	-0.258449724	0.274359015	0.71111766	1.764189261	0.895325045	0.115085901	2.282794984	2.036677824	-2.072740028	-2.072740028	-0.86376937	1.265644288	-1.525556485	0.09759129	0.6165933	-1.560445651	2.791417366	-0.96288426	-2.072740028	-2.072740028	2.128290511	2.282461009	-0.499859352	-0.473230375	1.751055521	-0.949731676	-2.072740028	-1.488346114	-1.476747184	-2.072740028	-1.448861425	-1.343673	-0.762094223	-1.288193049	-1.159670475	-2.072740028	0.297160484	-0.387937447	-0.048648497	1.694549051	0.962479956	1.592337264	0.766993682	-0.482764444	-2.072740028	1.412866389	0.773583497	-0.898937132	0.090848063
C16orf75	-1.352279226	-0.528018189	0.439179882	-0.144693423	0.607388161	-0.492515001	0.383876958	-0.103420253	1.757829944	-0.037030069	-0.830578442	2.51434196	-0.167599643	1.883743672	0.216510217	0.277767938	-0.256216979	2.308145902	-0.737080559	0.393212801	-0.300478771	-0.152774407	0.592931361	-0.209899134	-0.131257683	-0.559497317	3.184604767	-1.417519932	-0.323717173	1.912440779	-0.575282544	1.013925209	0.261558357	0.732467123	-0.424749765	-0.604552618	0.026346023	-1.107918314	0.694518679	1.030220684	0.313125277	0.381379108	-0.540554859	1.601456682	-0.896731291	0.311973874	-1.468200367	0.51973039	0.095389196	-1.890816385	-0.449459108	-0.716160944	0.167228331	-1.11515515	-0.422200134	0.728609178	-1.426212374	0.041116684	0.461580555	-0.222382064	-1.303703943	0.113592727	-0.941895172	-0.399648839	-1.12750753	-2.099746104	-0.263868166	0.944668199	-1.24582849	0.438421815
CANT1	-0.44785044	-0.498429828	0.925539218	0.216298197	-0.166642804	0.089282603	-0.202835744	1.14803271	-0.434649566	-0.349339625	-0.711318052	0.257435563	-0.762631682	-1.171012008	0.321855072	1.004574655	-0.630797573	0.337533288	0.037420244	1.401913875	-1.258538668	0.897959553	0.415206727	0.696630176	0.03503958	-0.037400199	-0.104021001	0.36084463	1.021257397	0.093678265	-0.022184359	0.318485747	0.17068073	-0.933481146	-0.167642825	0.586522776	0.34567112	0.312823022	-0.022677145	0.620629765	0.31605401	0.265862985	-0.652493617	-0.395425378	-0.440856202	0.014148492	-1.268689327	-0.107549721	0.49330315	0.571854417	0.411417149	0.035384333	0.72762455	0.320013892	-0.155959458	-1.293591532	-0.044031118	-0.591301056	-0.009198286	-0.367536768	-0.34555795	-0.291397994	0.092959905	-0.986527283	-0.068282509	-1.523178306	-0.697704217	-0.196014334	-0.453255508	0.65195607
CARD11	-1.135203353	-2.701411402	2.1364836	0.270990487	1.484270933	1.036692557	0.456062336	-3.80725354	-0.419676783	-0.043726192	0.41287077	0.331412281	-3.645183114	0.998732717	3.254868126	0.486316402	1.20016437	1.989461739	1.814821672	-0.282497639	-2.803100273	-2.950838403	-2.169332799	1.929608069	0.773931313	1.224430419	1.055982431	-1.525338274	-2.917260184	0.662769165	1.215674397	1.036859002	1.245169239	-0.744696162	1.091127411	0.888802144	-3.965663593	1.0405354	0.306255163	-0.823051709	1.355559263	-0.114769808	-4.302687274	1.81913468	-1.024155242	2.520099975	2.761937871	1.882975999	-1.115481093	1.116381017	1.295891915	2.123298589	1.103626832	-0.523844887	1.987903244	2.037968445	-0.347106297	-2.038561485	0.199834582	0.288644739	-2.033145143	0.844161565	1.512639998	-0.511760445	-4.073445539	1.53478758	1.278310138	0.406688696	0.948436245	1.140439576
CARS	0.154763516	0.290064617	0.22377205	-0.198102402	0.064574873	-0.349411715	-0.148755361	0.340314331	-0.132612941	-0.063120227	-0.555209532	0.597447774	-0.551842126	-0.475282321	1.692327419	0.469624187	0.390469013	-0.452041808	-0.0834237	0.065365881	1.322847828	0.590528611	-0.369895487	-0.086001752	-0.097648706	-0.052671524	-0.205549294	0.45098154	0.492319898	-0.542566856	0.186368728	0.139919641	-0.005559307	1.199077292	-0.875154353	-0.366847577	0.209804361	0.184754063	-0.347908181	-0.40882094	-0.043207596	-0.487857921	-0.106715351	-0.464900739	-0.421728449	0.503540385	-0.346648631	-0.64290412	-1.058498646	0.291592177	0.469082457	0.210460276	1.054211697	-0.306964703	0.475897229	-0.602186414	0.741436406	-0.762555857	-0.286957411	0.169262617	-0.210418683	-0.148601215	-0.99810315	0.270921553	-0.251555738	-0.748271756	-0.017593963	0.123131	-0.078660065	-0.119210235
CBFA2T3	-0.125433041	1.96020848	-0.910115727	-1.262846174	-2.212909001	1.600509056	0.43254675	-1.745249672	-1.804923484	1.751205656	-0.873998614	1.862715561	-0.097680745	2.482106794	0.7264974	-1.32277182	0.234803442	-0.365753311	3.392371804	-0.255739632	-1.523919721	-1.304766584	0.546443513	0.237869465	0.52799152	-1.111404284	-0.941095659	-2.43074863	-1.925807804	3.107260348	-1.249787391	2.113824699	0.118989379	-1.010054648	1.584325054	0.977661788	-0.062424567	-1.67839522	-0.874437521	0.733059102	0.499362122	0.280486766	-2.902629272	-1.936456704	0.025115567	2.358125945	1.95192451	-1.498250561	-1.234233355	0.133192624	0.907826326	1.761949033	-1.218737486	1.096118116	0.12851123	2.605853228	0.525797351	-1.117886126	-0.653535623	-0.910693347	0.791503859	-1.585713625	-2.120169772	3.932937549	-1.046055757	-0.231611828	2.130070574	1.789671881	-0.283771205	-2.706897925
CBFB	-1.565843064	-0.418583687	0.221412326	0.68966838	0.377029105	-0.203580649	-0.521979105	-0.070917929	0.209128898	-0.341405702	0.694998532	1.052224401	-0.020298153	-0.005489195	0.198985189	0.014679693	-0.992131766	-0.434504737	-0.589202	-0.387710979	-0.860082673	0.572793822	-0.605818048	-0.126574517	0.13579479	0.363229358	-0.100677534	0.321606324	0.137846397	0.420125731	0.010368521	-0.02674284	0.790831986	-0.132119007	-0.121111843	-0.584834635	-0.110254618	0.16523883	-0.07756466	0.166557701	-0.234509499	-0.01766114	0.752095141	-0.129900667	0.338884273	0.33801668	0.015864078	-0.107236554	-0.30060256	0.395317347	0.185425029	-0.174517779	-0.556049708	-0.534337691	-0.3704029	-0.695890956	-0.197630286	0.651261155	1.496916092	-0.225991275	0.038511232	0.309710581	0.271849864	-0.284829605	0.387484837	-1.272025141	-0.095254477	1.346267016	0.386531273	0.06966627
CBLB	-0.461035926	-0.201343193	0.236379644	-0.12028438	-0.50563882	-0.251690886	-0.428147242	0.217295008	-1.470439995	0.380337712	-0.569598346	0.568811997	-0.103093055	-0.288555525	-0.120160422	-0.541573448	0.331082313	0.412619445	0.628069656	-0.471192115	1.795490508	0.204873902	-0.501392151	0.392459361	-1.031598789	-1.634011	0.252874528	1.171612121	-0.181759186	0.113862041	-0.336178029	0.306885449	0.029452314	0.576231686	0.752723504	0.014691308	-0.341502969	-0.733939185	-0.264490893	-0.944933752	0.498051236	0.630790114	-0.556255644	-0.443825566	0.534945765	0.284042285	-1.122071543	-1.023748748	0.693598498	-0.013682771	0.729512275	-0.206627472	0.143305915	0.831573084	-0.043107812	0.851704094	-0.396284501	-1.245543016	0.295619618	-0.183876494	0.58846054	1.514666478	-0.090490742	-0.273983859	-0.97006704	1.250016828	-0.471919851	0.427098396	0.052963001	-0.03165723
CBLC	0.011930681	-1.158912732	0.800659529	1.284642046	1.528745641	1.174171436	1.717817655	0.987826418	-0.058872116	0.140343987	1.192789442	0.842265335	0.510241529	2.197303298	0.961951877	0.583686228	0.463461311	0.84144349	0.165199984	0.115240137	0.89316948	-4.79187997	1.241889116	0.037338849	0.380393993	0.420908544	1.08735857	-1.234679931	0.497371979	0.352491659	-4.107568824	-0.087729937	-0.333273893	-0.642048883	0.786609091	0.847047677	-0.45761306	2.185219088	2.190006802	-0.806584137	-3.206787525	-0.109509482	0.465282563	-3.529823561	0.402422175	0.668491431	1.307015191	-0.746007389	-0.272742878	0.620359729	-8.726489191	1.085540325	1.627274859	-0.679313453	1.484084727	1.291239592	-9.336457227	-0.097767225	-0.817633789	1.079990707	0.229585315	-0.276021068	1.093851746	0.643096358	0.377260478	0.910445845	2.252280507	0.928041335	0.558628853	1.89295859
CBL	-1.464243808	-0.475602051	0.028211404	0.621180356	-1.265121523	0.326931739	-0.015273175	-0.230260538	0.367689555	0.005848176	-1.044971338	0.924302226	-0.783347616	0.243822026	0.221157273	1.241972272	-0.270094088	0.438705188	0.211017856	0.397277965	-0.158269409	0.148515021	-0.315713296	0.227021177	1.006711295	-0.567312589	0.694708569	1.200472813	0.852707218	0.03723789	-1.243893755	1.052836404	0.571057925	-1.782414466	-1.052653538	-0.362786538	-0.166656832	0.428261692	-0.702354065	0.106693884	-0.144370673	0.569702912	0.852712234	0.178361996	0.425733494	0.890706686	-0.339290885	0.016096725	-1.023851695	0.298025935	1.272052714	-0.085143918	0.297099134	0.495352566	-1.169238541	0.199909828	0.589814417	0.877212883	-1.490838564	-0.783145641	0.242308094	-0.031652706	-0.988722962	-0.097540076	0.201536821	-1.65059473	-0.057558112	-0.278299018	-0.623791661	-0.706118339
CCNB1IP1	-0.328183666	-0.251315303	-0.123851747	0.341403095	-0.250748315	-1.071969008	0.86494843	-0.708329551	-0.078541612	-0.289081272	-0.316382077	-0.098457917	0.813058151	0.366319718	0.197658999	-0.845574357	1.278496243	0.337095913	0.560152622	-0.487490055	0.600563897	1.004952921	-0.590249127	-0.759292459	-1.036068737	-0.334032005	0.061981376	-0.079993882	-0.700226757	-0.412839101	0.280284018	-0.161072548	0.951067179	1.278959686	-0.125401617	-0.159699582	0.674779374	-0.130134631	-0.379457025	-0.983199657	-0.030185718	-0.250313764	-0.783034331	1.933356056	0.136327889	1.320181338	0.25301519	0.604325022	-0.076603724	0.331357843	-0.809791713	0.230177364	0.287650632	-1.272029655	0.380111756	0.189636259	-0.276218446	1.708730572	-1.814225407	-0.631367815	-0.500397213	0.373191398	0.127543667	-0.665875703	0.56573554	0.583691142	0.681245216	0.231400694	0.122832568	-0.268203692
CCND1	1.109955675	0.94856433	0.259025928	1.55837376	1.935019428	1.168676736	-1.60747746	0.463920545	-0.744760438	-2.411848662	0.341437961	-2.25343534	2.123146993	-3.860606798	-0.221303851	1.671300014	-2.83235324	-0.385401763	1.037402971	-1.126145091	-2.234851606	-0.321725391	-0.366659435	-0.512535076	-0.443368376	2.08076929	1.448357998	-0.367655308	0.256377607	-2.154450625	0.896213776	-2.209059838	-0.864184345	-0.266090391	0.562770248	-0.883054669	1.572368758	-0.631585917	0.042487254	-0.52370905	3.762291899	0.302927923	0.790657026	-3.376580934	0.100730389	0.091964664	0.179097256	0.727140924	-0.696418752	1.159621932	-1.306812296	1.176680593	-0.137991989	-0.049063558	-0.211808592	-0.987844265	-0.370474596	1.204708813	2.310921184	1.488956937	-1.777154778	0.820222654	0.404935459	1.228939907	0.753227377	-0.918849949	0.217383553	0.121465	2.159243835	4.382756944
CCND2	3.534501078	0.807524203	-1.058095782	-0.323458344	-1.835717209	0.18433969	-0.169852638	2.801640913	0.299413039	1.396496247	0.999990664	0.428530528	-0.659245093	0.036891816	-2.231037322	-0.375976364	-0.359073561	2.391300995	1.16742854	0.988251276	0.007988399	-0.89195345	1.145160568	0.832536541	-1.442458926	-1.456082562	-0.689569465	0.031229999	1.027445393	-1.765266525	1.924500618	1.216209585	-0.805299542	1.625500853	-1.506976309	0.301833771	1.295664948	-2.253785052	-0.448260612	0.892506765	0.101128618	0.939810365	-2.013035727	-2.010825097	-0.664821873	0.546552989	-0.24831384	-0.651962093	4.411563863	0.002262344	1.070935685	1.77694779	-0.648784022	1.442791227	0.121311806	-2.24696085	-0.072344171	-1.26820623	0.305522909	-3.190824041	0.90499093	-1.124876295	-2.780776555	1.161764933	-0.08790857	-1.190708849	-0.354941393	0.012101667	3.124502	-1.357782858
CCND3	0.693727079	-0.509759097	0.543162479	0.949169893	0.035887894	-0.599773104	-0.659945086	0.231358129	0.169228836	0.623380933	0.129643376	0.75917184	-0.933860116	0.599731855	-0.983901304	0.309441061	0.911082419	0.821469461	-0.242457814	-0.392008265	1.123265002	-0.308190002	-0.2065892	0.655423083	0.630925666	0.115674112	0.704049965	0.534776767	0.688527844	-0.403451341	-0.349093794	1.501766806	0.681182007	-0.667988614	0.335991129	-0.173886009	-0.45175252	0.671238519	-1.45795033	-0.139873836	-0.919297874	0.37975685	-0.04434011	0.03908825	-1.103463701	-0.166902107	1.020812739	0.036436246	-0.857656945	1.233594381	0.646139167	0.722735192	-0.761724357	0.622301304	0.608534701	0.090761457	1.137255613	-0.399781388	0.670122562	-0.830568247	-0.209323099	-1.298828755	-0.216998454	-0.843453206	-0.44144813	-0.046873706	0.115722943	0.07175739	-0.330107905	0.575512477
CCNE1	0.892424069	-0.832257248	-1.090778065	-0.288532169	-0.684351777	-1.474225644	1.399547492	-1.532518444	-0.20775499	-0.630021587	-0.785877369	0.903576717	-0.719666207	0.828058778	2.723855223	1.127217271	-0.500101472	0.137012314	-2.492218615	0.569549134	-0.993594781	0.935690858	0.296890373	0.178602562	1.719849289	1.122483592	0.029056216	-0.60520072	-1.18243178	0.432156436	-0.4545213	1.249244296	1.748793552	-0.209177346	-0.569608474	-0.003910365	0.030087268	1.328918058	0.820383388	-1.892567173	0.671879635	-0.082792117	-0.046884485	0.673424624	-0.627893713	0.774776258	0.241512847	0.290036169	-0.77460897	-0.677060087	0.576929216	-0.558410229	2.765263892	1.103128026	-0.096084192	0.039470638	-0.465286098	0.331444234	-1.954059494	-0.868490408	1.52371143	-0.38616862	-2.106072751	-1.83461903	-1.241226817	2.101212214	-0.448596819	-0.602653658	-1.20704308	1.585809899
