	TCGA-DK-A1A3-01A-11R-A13Y-07	TCGA-BT-A0YX-01A-11R-A10U-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-E5-A2PC-01A-11R-A206-07	TCGA-G2-A2EK-01A-22R-A18C-07	TCGA-DK-A1A7-01A-11R-A13Y-07	TCGA-G2-A2EJ-01A-11R-A180-07	TCGA-GC-A3I6-01A-11R-A20F-07	TCGA-DK-A3IU-01A-11R-A20F-07	TCGA-BT-A20T-01A-11R-A14Y-07	TCGA-DK-A3IV-01A-22R-A21D-07	TCGA-G2-A2ES-01A-11R-A180-07	TCGA-DK-A3IL-01A-11R-A20F-07	TCGA-GC-A3RB-01A-12R-A220-07	TCGA-FD-A3B6-01A-21R-A20F-07	TCGA-H4-A2HO-01A-11R-A180-07	TCGA-DK-A3IN-01A-11R-A20F-07	TCGA-G2-A2EC-01A-11R-A180-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-DK-A1AC-01A-11R-A13Y-07	TCGA-BL-A3JM-01A-12R-A21D-07	TCGA-DK-A2HX-01A-12R-A18C-07	TCGA-DK-A2I4-01A-11R-A21D-07	TCGA-FD-A3N5-01A-11R-A21D-07	TCGA-BT-A3PH-01A-11R-A220-07	TCGA-FD-A3NA-01A-11R-A21D-07	TCGA-G2-A2EF-01A-12R-A18C-07	TCGA-BT-A3PJ-01A-21R-A220-07	TCGA-BT-A20V-01A-11R-A14Y-07	TCGA-BT-A20P-01A-11R-A14Y-07	TCGA-GV-A3QG-01A-11R-A220-07	TCGA-CF-A1HS-01A-11R-A13Y-07	TCGA-G2-A2EO-01A-11R-A180-07	TCGA-CF-A3MH-01A-11R-A20F-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-DK-A2I2-01A-11R-A180-07	TCGA-DK-A2I6-01A-12R-A18C-07	TCGA-DK-A1AD-01A-11R-A13Y-07	TCGA-FD-A3B4-01A-12R-A206-07	TCGA-GV-A3JV-01A-11R-A220-07	TCGA-FD-A3B7-01A-31R-A20F-07	TCGA-CU-A3KJ-01A-11R-A21D-07	TCGA-GV-A3QI-01A-11R-A220-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-CF-A3MI-01A-11R-A20F-07	TCGA-C4-A0F6-01A-11R-A10U-07	TCGA-HQ-A2OE-01A-11R-A206-07	TCGA-FT-A3EE-01A-11R-A206-07	TCGA-BT-A20O-01A-21R-A14Y-07	TCGA-CU-A0YO-01A-11R-A10U-07	TCGA-GV-A3JZ-01A-11R-A21D-07	TCGA-FD-A3B8-01A-31R-A20F-07	TCGA-BT-A2LB-01A-11R-A18C-07	TCGA-G2-A3IE-01A-11R-A20F-07	TCGA-BL-A13I-01A-11R-A13Y-07	TCGA-BT-A0S7-01A-11R-A10U-07	TCGA-DK-A1A5-01A-11R-A13Y-07	TCGA-G2-A3IB-01A-11R-A20F-07	TCGA-FD-A3B3-01A-12R-A206-07	TCGA-DK-A1AE-01A-11R-A13Y-07	TCGA-CF-A27C-01A-11R-A16R-07	TCGA-DK-A1AB-01A-11R-A13Y-07	TCGA-BT-A20X-01A-11R-A16R-07	TCGA-CF-A3MF-01A-12R-A21D-07	TCGA-DK-A3IK-01A-32R-A21D-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-DK-A1AA-01A-11R-A13Y-07	TCGA-DK-A1A6-01A-11R-A13Y-07
BCL2L2	-1.817115304	-0.080352753	0.369304166	0.085481657	-0.009886405	0.82079556	-0.99550974	0.701824595	0.980270095	0.122424788	-0.721162668	0.007487966	0.473253604	-0.069619737	0.052282398	-0.076830951	-0.60456334	0.272507584	0.334631895	0.67149336	-1.049640592	-0.272777232	0.116514257	-0.551011762	0.995507408	0.813787356	-0.062791755	-0.31485898	-0.275572786	-0.165596264	-1.079675022	-0.3731921	0.350157656	-0.604198255	-0.274287815	0.354667575	-0.692503027	0.55541714	-1.080988511	0.642231367	0.15081217	-0.274972297	0.569437501	2.050856898	-0.099321973	0.036320996	-0.287095024	0.665057463	0.329078546	-0.34262087	-0.41812461	0.289554328	-0.636095997	0.803039395	0.145844405	0.928184044	-0.046770445	-0.140444308	-1.725748647	0.642959882	-0.215665788	0.151658921	0.289453582	0.581763088	0.007107045	-1.56776691	0.08288005	-0.30933776	-0.739883431	-0.04996274
BCL2	0.044659041	0.043009812	-1.119442535	-0.291472898	-0.523799844	0.331174281	0.499757541	-2.523297627	-0.868332431	1.584351681	0.441150806	1.763034066	-1.418319079	-0.16206249	-0.381823512	-0.108428092	0.381994336	-0.716860251	0.929798095	0.275225833	-1.061497047	2.751661553	0.666101151	0.839859861	1.33374931	0.04643946	-1.119386876	0.241268603	-0.256552513	2.532862042	-0.585233017	2.10163504	-0.897265563	0.731025444	-1.289622892	2.241890733	-0.332382119	-1.925532375	0.124120624	-0.082426461	0.578835426	0.459781236	-0.41115674	1.976760278	-1.468369208	0.379116874	-1.394603916	-0.182701161	-2.388141149	-0.672762181	1.17576964	2.559315964	-1.269594981	1.589396952	-0.207764691	-1.615241547	0.241861394	1.234705554	-0.119305889	-2.647761057	0.666410522	3.416772443	0.029256017	0.542111908	-1.044218614	-1.62711594	0.052446165	-0.888204965	0.32092095	-0.710005266
BCL3	-1.243959739	0.806615412	-0.177538581	0.751464742	0.12836974	-0.97322361	1.259423572	0.033524767	0.824267752	0.7517345	0.91628292	1.062847568	0.911670906	0.138855865	0.423481235	0.359308643	-2.106913245	-0.34162252	-0.832627409	0.367971027	0.782407564	-2.184109916	1.112265307	0.848383513	-0.522320363	-0.482072551	0.2272885	0.242411866	0.580955577	0.5235094	1.206840794	-0.106883509	0.250165901	0.410942727	0.245388846	-0.268755399	1.042744227	1.621678679	-0.034783534	0.107733116	0.076257733	0.308314614	0.03787772	-2.859389	0.500354489	-0.345465277	1.102815285	-0.580409093	-0.036334192	-0.405447612	0.230268942	1.00854005	1.033081736	0.378964082	-0.02621807	-0.395151232	0.209202647	-1.122389675	-1.435928594	0.252591624	0.501219451	-0.949741717	-0.722547991	0.567453786	1.126342791	-0.381774564	0.778565197	-0.050442997	-0.761838256	0.622803884
BCL6	0.424587182	0.350089519	-0.087628878	-0.07093117	0.853416874	1.278803326	0.089651784	-1.231672968	0.354468426	0.254620183	1.100780539	0.610515372	-0.00190318	0.382234615	0.339729318	-2.318631194	-0.188561518	-0.394775928	-0.308533598	-0.813038853	-0.601340646	0.208214531	-0.143376138	-0.805868142	-0.80721756	1.249191436	-0.192654995	-1.105142817	-1.612572351	-0.323174679	0.007817238	-0.150612736	-0.482416452	0.410311523	0.119724868	0.963898269	-0.400077819	-1.479077451	-0.40235774	-0.117404448	0.670038182	-1.167014708	0.828035277	-0.832366173	1.001479044	-0.208127584	1.016387925	0.334249126	-0.058718518	-1.502600892	-0.526349627	0.078142223	-0.68351914	0.325371165	-0.442362506	0.741602969	-1.101785837	-0.61076177	-0.332037286	0.069472692	0.252213744	1.317670844	1.288647534	0.109530356	-0.962500603	1.635500096	-0.210921197	0.884456213	-0.369397815	-0.098626005
BCL7A	-0.042934425	-0.739452129	0.405481671	0.541350644	-0.66673329	0.581770428	0.595418333	-0.596771781	-0.053432929	-0.998971726	-0.094706253	0.527907959	-0.595664282	0.171406526	0.298934273	-1.044701554	-1.047886977	0.154067826	-0.114143257	-0.011140156	0.844131453	1.847216683	0.561531034	-0.778857156	0.505459416	-0.475426802	-0.762486513	0.49862096	-0.127148196	1.205449054	-0.171641662	-0.231868993	-0.734834035	-0.365382313	1.151061211	0.99746334	-0.731477711	-0.106791514	0.31948993	0.242813125	1.256971072	-0.801639672	-1.28786996	1.255375911	0.322762081	0.369826411	-0.891690224	0.159886075	1.769780211	0.627235101	-1.125045555	-0.054646172	0.175370174	-0.750256055	-1.201836267	0.484989002	-1.731781362	0.656526113	0.290121001	-0.54600366	-0.139473784	0.265521565	0.051898331	-1.015206166	-0.837318811	0.530244902	0.675522451	-0.369381299	0.060045735	-0.20949989
BCL9	-0.320887674	-0.261472778	-0.075293707	-1.185517615	0.697749286	-0.972110475	0.397147368	-0.684183807	-0.464309986	0.169026531	-0.014191417	-0.6100569	-1.681366283	0.474941256	0.927042143	-0.656067482	-0.671683474	0.257023202	-0.564156791	-0.850546034	1.008572789	-0.050482376	0.627900588	0.164534207	-0.466751014	-1.192903206	-0.237412748	-0.803548016	-0.830173692	0.441107921	-0.118969822	-0.261043794	-0.150382123	-1.131571112	-0.004066195	0.171600764	0.175358365	-1.197989883	1.305450425	-0.439796125	-0.640877534	1.21960479	1.13464498	0.524150284	0.712150875	0.503111667	-0.633586061	0.297628167	1.505225389	-0.305523074	-0.027698991	-0.168893569	1.650574362	0.156852192	0.23087046	1.104034149	-0.170770108	0.15860516	1.42338354	-1.976440947	-0.512460277	0.589683677	0.041516807	-0.2006151	-0.490540488	-0.761866737	0.226875997	-0.118365697	0.78041034	-0.483113414
BCOR	-0.335566966	-0.36540601	0.188666029	0.765368865	-0.368942599	0.354197234	-0.019816649	-1.104702764	0.155135538	-0.205191928	-0.393718687	0.643779715	-0.32205798	-0.501889132	0.948370993	-1.026108805	-0.100655151	-1.12214153	0.440090596	-1.186604919	1.581301238	1.328463354	0.434590693	0.379104206	-0.543681455	-0.144187896	-0.495496379	-0.895134905	-0.676598322	0.029730312	-0.415949891	0.076814585	0.28890003	-1.186420087	-0.142754206	1.07577756	-2.838673796	-0.822346645	0.053765753	-0.367657575	-0.085688423	-0.446039157	-1.51593633	1.127459314	0.527613126	0.613034596	-0.822737046	1.378968386	1.61175005	-0.300824315	0.141817347	0.705879947	0.343158045	-0.323613429	-0.102707649	0.347263661	-0.211126875	-0.193776644	0.31111375	-0.454684969	-0.917349872	-0.058525251	0.662825033	0.63213086	-0.421436748	-1.084301671	0.276593901	0.616084626	1.048992935	0.186872366
BCR	0.035745686	0.26404903	0.89522348	-0.256161785	-0.477155891	0.427739287	-1.071546111	0.104302715	0.331184387	-0.184977236	-0.384363074	-0.534491478	1.605977854	0.31734513	0.498994732	0.982107633	-1.004047234	1.644319628	-0.316558878	-0.279555639	-0.257827969	-0.044327431	-0.463395552	-0.238315184	0.191083791	-0.232848431	0.138527809	1.29803008	1.298573025	0.929564556	-0.205513809	-0.48148123	0.301205513	-0.974514063	0.515437955	-0.078406333	-1.271849099	1.428414774	0.072446695	-0.965832578	-0.592644536	0.24643741	-0.51334351	0.018275269	0.703345798	-0.31784856	-1.023596462	0.466646685	0.007073395	-0.662442927	-0.812123514	0.832655672	0.85031018	-0.096692816	-0.056219344	1.706741966	-1.006218012	-0.87288016	-0.932085791	0.721543324	0.580824273	0.229432523	-0.464858047	0.214235685	0.373528975	-1.025829188	-0.208684678	0.218719523	-0.442239535	0.193494753
BIRC3	-0.113970078	0.45881351	-0.107538161	0.689981748	-0.008208293	0.530752229	0.155550546	1.756992932	2.880863535	3.35651417	-0.33545789	3.45076426	1.112726075	-0.926906398	-1.337461941	4.166094253	0.162458156	-0.539881237	0.484968726	0.490584228	1.487717361	-1.748815483	0.846866529	2.470455071	-0.750021801	-2.058863453	0.594410559	0.879428224	1.814349099	1.948651467	-1.674327116	2.520890788	-1.375974775	-0.303406196	-3.511552151	-0.738133805	1.515284557	-2.017911942	-1.28759557	0.852965007	0.128314455	1.760058267	1.110574626	-0.3913924	-1.481261309	0.85412824	-1.032039144	-2.134580912	-0.194236341	-0.627781629	3.10172988	2.033604754	-0.497785002	3.724568945	1.124344083	-1.095749389	1.566691737	-1.26703106	-1.287659724	-3.642331203	1.555150863	-2.172137257	-2.380823273	1.884232831	-0.655969768	-2.329165587	-0.528954084	-1.653048873	-0.67375663	-0.013418123
BLM	-0.069453109	-0.804759755	0.448365833	0.811361679	-0.782909419	-1.441503982	-0.056526024	-0.02077454	0.555286032	-0.752176166	-0.573672027	0.780820523	0.242699494	0.252505922	1.460609667	0.204509064	0.004768819	-0.215321307	-1.58447136	0.37937236	1.075804605	0.921948088	-0.731095433	1.314904175	-0.350113974	-0.080402251	0.090554407	0.004347114	-0.048640666	1.008189325	-0.004217575	0.881597644	-0.035693329	-0.041299195	-0.494036764	-1.541240907	-0.716277555	0.332622965	1.122135716	-0.239333009	-0.022252049	0.213190039	0.193320918	1.126066078	-0.227514763	0.489185065	-0.423056909	0.50055367	0.493810825	-0.847355577	0.466886724	-0.725186486	1.791965884	-0.691130142	-0.495112315	-1.002771968	-0.184596449	-0.256017499	1.000585822	-0.04579607	-0.135434328	0.467175359	-1.08932559	-1.610585095	-1.415754033	0.621592574	-0.790325522	0.34141745	-1.304549274	1.461874375
